order_id,order_date,company_id,company_name,sku,region,forecast_qty,actual_qty,absolute_error,mape_pct,carrier,warehouse,promised_date,delivered_date,delay_days,on_time_delivery,expedited,unit_price,revenue,expedited_cost,route_id,warehouse_id,inventory_before,safety_stock,stockout_flag,upload_batch_date
200013,2025-03-16,1013,PolyTech Midwest,SKU0054,Northern MI,184,172,12,6.98%,QuickRoute Carriers,Lakeside Warehousing,2025-03-23,2025-03-23,0,Yes,No,9.64,1658.08,0.0,R374,W01,433,40,0,2025-03-17
200014,2024-04-02,1001,Delta Plastics,SKU0009,Northern MI,262,243,19,7.82%,QuickRoute Carriers,Downtown Storage Co.,2024-04-12,2024-04-12,0,Yes,No,11.21,2724.03,0.0,R705,W03,104,174,0,2024-04-05
200015,2024-06-23,1005,Riverbend Metals,SKU0031,Northern MI,382,313,69,22.04%,QuickRoute Carriers,Mid-MI Crossdock,2024-07-01,2024-07-01,0,Yes,No,12.5,3912.5,0.0,R645,W02,212,148,0,2024-06-26
200016,2024-12-31,1002,Midland Moldings,SKU0012,Northern MI,570,354,216,61.02%,North Fork Logistics,Downtown Storage Co.,2025-01-14,2025-01-14,0,Yes,No,13.44,4757.76,0.0,R693,W03,443,28,0,2025-01-07
200017,2025-08-29,1013,PolyTech Midwest,SKU0055,Central MI,189,153,36,23.53%,Superior Haulage,Mid-MI Crossdock,2025-09-03,2025-09-03,0,Yes,No,13.04,1995.12,0.0,R278,W02,555,111,0,2025-08-30
200018,2023-05-17,1001,Delta Plastics,SKU0008,SE MI,399,357,42,11.76%,Mitten Last-Mile,Lakeside Warehousing,2023-05-24,2023-05-24,0,Yes,No,17.05,6086.85,0.0,R529,W01,79,78,1,2023-05-24
200019,2023-02-11,1003,Great Lakes Fasteners,SKU0016,West MI,219,182,37,20.33%,QuickRoute Carriers,Downtown Storage Co.,2023-02-16,2023-02-16,0,Yes,No,13.1,2384.2,0.0,R909,W03,592,54,0,2023-02-25
200020,2025-04-22,1004,TriCounty Components,SKU0029,SE MI,138,160,22,13.75%,QuickRoute Carriers,Downtown Storage Co.,2025-04-29,2025-05-06,7,No,No,11.13,1780.8,0.0,R736,W03,532,133,0,2025-04-25
200021,2025-05-04,1001,Delta Plastics,SKU0008,West MI,146,135,11,8.15%,Superior Haulage,Downtown Storage Co.,2025-05-13,2025-05-13,0,Yes,No,15.1,2038.5,0.0,R903,W03,425,206,0,2025-05-07
200022,2025-05-06,1013,PolyTech Midwest,SKU0051,Central MI,160,278,118,42.45%,Superior Haulage,Downtown Storage Co.,2025-05-16,2025-05-16,0,Yes,No,12.9,3586.2,0.0,R245,W03,90,156,1,2025-05-07
200023,2023-02-26,1001,Delta Plastics,SKU0007,SE MI,312,249,63,25.3%,Mitten Last-Mile,Mid-MI Crossdock,2023-03-04,2023-03-06,2,No,No,15.02,3739.98,0.0,R446,W02,555,57,0,2023-03-01
200024,2024-03-02,1004,TriCounty Components,SKU0029,SE MI,542,416,126,30.29%,Mitten Last-Mile,Lakeside Warehousing,2024-03-14,2024-03-15,1,No,No,14.48,6023.68,0.0,R724,W01,359,58,0,2024-03-03
200025,2024-05-27,1001,Delta Plastics,SKU0006,Northern MI,323,301,22,7.31%,QuickRoute Carriers,Mid-MI Crossdock,2024-06-05,2024-06-05,0,Yes,No,12.21,3675.21,0.0,R635,W02,340,68,0,2024-06-10
200026,2025-09-14,1003,Great Lakes Fasteners,SKU0018,SE MI,329,275,54,19.64%,Mitten Last-Mile,Mid-MI Crossdock,2025-09-17,2025-09-17,0,Yes,No,13.97,3841.75,0.0,R306,W02,291,47,0,2025-09-21
200027,2024-07-28,1005,Riverbend Metals,SKU0038,West MI,100,93,7,7.53%,QuickRoute Carriers,Lakeside Warehousing,2024-08-10,2024-08-10,0,Yes,No,14.55,1353.15,0.0,R975,W01,402,150,0,2024-07-31
200028,2024-04-10,1013,PolyTech Midwest,SKU0054,Northern MI,133,103,30,29.13%,Superior Haulage,Lakeside Warehousing,2024-04-24,2024-04-24,0,Yes,No,7.44,766.32,0.0,R667,W01,116,64,0,2024-04-17
200029,2024-05-28,1003,Great Lakes Fasteners,SKU0019,West MI,537,417,120,28.78%,QuickRoute Carriers,Downtown Storage Co.,2024-06-07,2024-06-08,1,No,No,14.92,6221.64,0.0,R894,W03,499,74,0,2024-06-11
200030,2025-08-20,1003,Great Lakes Fasteners,SKU0016,Central MI,341,285,56,19.65%,Superior Haulage,Downtown Storage Co.,2025-08-27,2025-08-27,0,Yes,No,14.35,4089.75,0.0,R280,W03,32,85,1,2025-09-03
200031,2023-07-30,1012,AutoSeal Gaskets,SKU0040,SE MI,19,26,7,26.92%,North Fork Logistics,Mid-MI Crossdock,2023-08-07,2023-08-10,3,No,No,15.01,390.26,0.0,R924,W02,295,156,0,2023-08-13
200032,2025-04-19,1004,TriCounty Components,SKU0024,SE MI,405,307,98,31.92%,North Fork Logistics,Lakeside Warehousing,2025-04-28,2025-04-28,0,Yes,No,11.6,3561.2,0.0,R338,W01,149,152,1,2025-05-03
200033,2025-03-03,1002,Midland Moldings,SKU0014,SE MI,315,378,63,16.67%,North Fork Logistics,Downtown Storage Co.,2025-03-15,2025-03-15,0,Yes,No,13.03,4925.34,0.0,R892,W03,52,96,1,2025-03-10
200034,2025-05-05,1004,TriCounty Components,SKU0025,SE MI,313,347,34,9.8%,North Fork Logistics,Mid-MI Crossdock,2025-05-17,2025-05-17,0,Yes,No,12.31,4271.57,0.0,R620,W02,411,24,0,2025-05-08
200035,2024-11-17,1012,AutoSeal Gaskets,SKU0048,SE MI,209,125,84,67.2%,QuickRoute Carriers,Mid-MI Crossdock,2024-11-28,2024-12-02,4,No,No,13.73,1716.25,0.0,R605,W02,203,93,0,2024-11-20
200036,2025-09-09,1002,Midland Moldings,SKU0013,Central MI,73,97,24,24.74%,Superior Haulage,Mid-MI Crossdock,2025-09-14,2025-09-16,2,No,No,11.34,1099.98,0.0,R525,W02,16,74,1,2025-09-10
200037,2024-06-27,1001,Delta Plastics,SKU0009,Central MI,16,15,1,6.67%,North Fork Logistics,Lakeside Warehousing,2024-07-02,2024-07-02,0,Yes,No,20.83,312.45,0.0,R503,W01,250,156,0,2024-07-04
200038,2025-08-22,1001,Delta Plastics,SKU0008,Central MI,30,32,2,6.25%,North Fork Logistics,Mid-MI Crossdock,2025-08-25,2025-08-27,2,No,No,13.01,416.32,0.0,R169,W02,80,94,0,2025-08-23
200039,2025-07-25,1004,TriCounty Components,SKU0027,Central MI,256,305,49,16.07%,North Fork Logistics,Lakeside Warehousing,2025-08-08,2025-08-12,4,No,Yes,15.54,4739.7,390.72,R102,W01,360,68,0,2025-08-08
200040,2025-06-09,1014,Precision Plastics West,SKU0064,Central MI,105,104,1,0.96%,Superior Haulage,Mid-MI Crossdock,2025-06-18,2025-06-20,2,No,Yes,20.55,2137.2,237.85,R356,W02,7,116,0,2025-06-23
200041,2024-04-28,1013,PolyTech Midwest,SKU0055,West MI,187,167,20,11.98%,QuickRoute Carriers,Mid-MI Crossdock,2024-05-05,2024-05-05,0,Yes,No,12.7,2120.9,0.0,R403,W02,190,48,0,2024-04-29
200042,2025-09-01,1012,AutoSeal Gaskets,SKU0041,Central MI,206,159,47,29.56%,QuickRoute Carriers,Mid-MI Crossdock,2025-09-04,2025-09-07,3,No,No,8.93,1419.87,0.0,R755,W02,16,149,0,2025-09-08
200043,2025-06-25,1014,Precision Plastics West,SKU0060,Central MI,398,351,47,13.39%,Mitten Last-Mile,Lakeside Warehousing,2025-07-03,2025-07-03,0,Yes,No,15.41,5408.91,0.0,R754,W01,1,63,1,2025-07-02
200044,2023-05-19,1014,Precision Plastics West,SKU0059,Central MI,55,42,13,30.95%,Mitten Last-Mile,Mid-MI Crossdock,2023-05-23,2023-05-23,0,Yes,No,11.99,503.58,0.0,R643,W02,217,140,0,2023-05-22
200045,2024-08-13,1012,AutoSeal Gaskets,SKU0047,West MI,86,72,14,19.44%,Superior Haulage,Lakeside Warehousing,2024-08-26,2024-08-26,0,Yes,No,17.4,1252.8,0.0,R699,W01,456,132,0,2024-08-27
200046,2025-09-03,1005,Riverbend Metals,SKU0039,Northern MI,385,304,81,26.64%,Mitten Last-Mile,Lakeside Warehousing,2025-09-09,2025-09-09,0,Yes,No,14.33,4356.32,0.0,R185,W01,424,37,0,2025-09-04
200047,2025-02-28,1005,Riverbend Metals,SKU0032,Central MI,127,143,16,11.19%,Superior Haulage,Mid-MI Crossdock,2025-03-04,2025-03-05,1,No,Yes,14.48,2070.64,136.45,R812,W02,211,95,0,2025-03-14
200048,2023-12-02,1004,TriCounty Components,SKU0024,West MI,128,139,11,7.91%,North Fork Logistics,Downtown Storage Co.,2023-12-15,2023-12-15,0,Yes,No,10.05,1396.95,0.0,R323,W03,536,155,0,2023-12-05
200049,2024-07-24,1005,Riverbend Metals,SKU0032,SE MI,114,130,16,12.31%,QuickRoute Carriers,Mid-MI Crossdock,2024-08-05,2024-08-05,0,Yes,No,10.5,1365.0,0.0,R616,W02,29,169,0,2024-07-31
200050,2025-08-26,1002,Midland Moldings,SKU0011,SE MI,328,446,118,26.46%,Superior Haulage,Mid-MI Crossdock,2025-09-02,2025-09-02,0,Yes,No,14.87,6632.02,0.0,R988,W02,574,58,0,2025-08-27
200051,2023-04-14,1005,Riverbend Metals,SKU0039,Central MI,385,234,151,64.53%,Mitten Last-Mile,Downtown Storage Co.,2023-04-20,2023-04-20,0,Yes,No,17.69,4139.46,0.0,R643,W03,171,150,0,2023-04-17
200052,2025-01-25,1014,Precision Plastics West,SKU0064,Central MI,306,229,77,33.62%,North Fork Logistics,Mid-MI Crossdock,2025-02-04,2025-02-06,2,No,Yes,14.24,3260.96,244.53,R382,W02,515,43,0,2025-01-28
200053,2024-03-04,1012,AutoSeal Gaskets,SKU0044,SE MI,266,331,65,19.64%,North Fork Logistics,Downtown Storage Co.,2024-03-16,2024-03-17,1,No,No,17.24,5706.44,0.0,R883,W03,399,128,0,2024-03-18
200054,2025-09-01,1014,Precision Plastics West,SKU0058,Northern MI,168,194,26,13.4%,QuickRoute Carriers,Mid-MI Crossdock,2025-09-15,2025-09-17,2,No,Yes,16.63,3226.22,259.69,R191,W02,508,67,0,2025-09-15
200055,2025-09-12,1005,Riverbend Metals,SKU0037,SE MI,558,333,225,67.57%,QuickRoute Carriers,Lakeside Warehousing,2025-09-24,2025-09-24,0,Yes,No,14.46,4815.18,0.0,R325,W01,183,153,0,2025-09-13
200056,2024-02-28,1002,Midland Moldings,SKU0010,West MI,423,330,93,28.18%,Superior Haulage,Mid-MI Crossdock,2024-03-09,2024-03-09,0,Yes,No,11.22,3702.6,0.0,R494,W02,123,119,1,2024-03-06
200057,2025-08-30,1003,Great Lakes Fasteners,SKU0016,SE MI,191,218,27,12.39%,Mitten Last-Mile,Mid-MI Crossdock,2025-09-08,2025-09-09,1,No,No,16.16,3522.88,0.0,R183,W02,448,79,0,2025-09-06
200058,2023-05-29,1014,Precision Plastics West,SKU0066,Central MI,263,407,144,35.38%,Superior Haulage,Mid-MI Crossdock,2023-06-02,2023-06-02,0,Yes,No,10.56,4297.92,0.0,R490,W02,125,156,1,2023-05-30
200059,2025-08-06,1013,PolyTech Midwest,SKU0054,Central MI,259,189,70,37.04%,Superior Haulage,Mid-MI Crossdock,2025-08-16,2025-08-16,0,Yes,No,16.73,3161.97,0.0,R572,W02,382,117,0,2025-08-09
200060,2025-08-24,1003,Great Lakes Fasteners,SKU0022,Central MI,116,72,44,61.11%,North Fork Logistics,Downtown Storage Co.,2025-08-30,2025-08-30,0,Yes,No,11.49,827.28,0.0,R148,W03,510,44,0,2025-08-31
200061,2024-10-17,1012,AutoSeal Gaskets,SKU0044,SE MI,385,327,58,17.74%,North Fork Logistics,Downtown Storage Co.,2024-10-25,2024-10-25,0,Yes,No,10.93,3574.11,0.0,R756,W03,155,151,1,2024-10-24
200062,2025-08-30,1003,Great Lakes Fasteners,SKU0020,Northern MI,335,419,84,20.05%,Superior Haulage,Lakeside Warehousing,2025-09-07,2025-09-07,0,Yes,No,14.16,5933.04,0.0,R353,W01,152,86,1,2025-09-06
200063,2024-11-17,1014,Precision Plastics West,SKU0063,Northern MI,228,196,32,16.33%,Superior Haulage,Mid-MI Crossdock,2024-11-30,2024-12-01,1,No,No,9.34,1830.64,0.0,R422,W02,283,156,0,2024-11-20
200064,2025-09-12,1013,PolyTech Midwest,SKU0054,SE MI,407,286,121,42.31%,QuickRoute Carriers,Mid-MI Crossdock,2025-09-24,2025-09-24,0,Yes,No,16.37,4681.82,0.0,R275,W02,581,150,0,2025-09-26
200065,2024-01-19,1001,Delta Plastics,SKU0006,Central MI,282,279,3,1.08%,QuickRoute Carriers,Mid-MI Crossdock,2024-01-26,2024-01-26,0,Yes,No,16.13,4500.27,0.0,R464,W02,236,118,0,2024-01-26
200066,2025-08-15,1002,Midland Moldings,SKU0010,West MI,123,101,22,21.78%,QuickRoute Carriers,Mid-MI Crossdock,2025-08-22,2025-08-22,0,Yes,No,9.89,998.89,0.0,R382,W02,258,107,0,2025-08-18
200067,2024-05-20,1012,AutoSeal Gaskets,SKU0041,Northern MI,227,184,43,23.37%,North Fork Logistics,Lakeside Warehousing,2024-05-24,2024-05-24,0,Yes,No,13.7,2520.8,0.0,R586,W01,47,155,0,2024-05-23
200068,2025-08-30,1012,AutoSeal Gaskets,SKU0044,SE MI,472,364,108,29.67%,Superior Haulage,Downtown Storage Co.,2025-09-10,2025-09-10,0,Yes,No,9.9,3603.6,0.0,R688,W03,464,36,0,2025-09-13
200069,2025-04-22,1012,AutoSeal Gaskets,SKU0045,Northern MI,342,281,61,21.71%,QuickRoute Carriers,Lakeside Warehousing,2025-04-30,2025-04-30,0,Yes,No,18.05,5072.05,0.0,R277,W01,356,111,0,2025-05-06
200070,2024-05-27,1014,Precision Plastics West,SKU0064,Northern MI,75,82,7,8.54%,Superior Haulage,Downtown Storage Co.,2024-06-03,2024-06-07,4,No,No,15.36,1259.52,0.0,R226,W03,354,44,0,2024-06-03
200071,2023-10-04,1014,Precision Plastics West,SKU0059,Central MI,380,458,78,17.03%,Superior Haulage,Mid-MI Crossdock,2023-10-10,2023-10-12,2,No,Yes,14.11,6462.38,176.36,R446,W02,73,151,1,2023-10-18
200072,2025-08-31,1001,Delta Plastics,SKU0009,West MI,247,235,12,5.11%,Mitten Last-Mile,Lakeside Warehousing,2025-09-14,2025-09-14,0,Yes,No,9.05,2126.75,0.0,R587,W01,437,104,0,2025-09-07
200073,2025-08-22,1002,Midland Moldings,SKU0012,Central MI,354,290,64,22.07%,Superior Haulage,Lakeside Warehousing,2025-09-05,2025-09-05,0,Yes,No,8.46,2453.4,0.0,R421,W01,254,74,0,2025-09-05
200074,2023-05-20,1005,Riverbend Metals,SKU0035,SE MI,356,290,66,22.76%,Mitten Last-Mile,Mid-MI Crossdock,2023-05-23,2023-05-23,0,Yes,No,17.78,5156.2,0.0,R394,W02,302,50,0,2023-05-27
200075,2024-07-09,1014,Precision Plastics West,SKU0061,Central MI,96,101,5,4.95%,QuickRoute Carriers,Mid-MI Crossdock,2024-07-22,2024-07-23,1,No,No,18.15,1833.15,0.0,R600,W02,276,173,0,2024-07-12
200076,2025-09-02,1001,Delta Plastics,SKU0009,SE MI,328,326,2,0.61%,Superior Haulage,Lakeside Warehousing,2025-09-10,2025-09-10,0,Yes,No,13.07,4260.82,0.0,R470,W01,466,242,0,2025-09-03
200077,2024-11-20,1001,Delta Plastics,SKU0008,Northern MI,92,90,2,2.22%,North Fork Logistics,Mid-MI Crossdock,2024-12-02,2024-12-02,0,Yes,No,15.95,1435.5,0.0,R344,W02,403,59,0,2024-11-23
200078,2024-11-05,1012,AutoSeal Gaskets,SKU0040,Central MI,34,36,2,5.56%,Mitten Last-Mile,Mid-MI Crossdock,2024-11-13,2024-11-13,0,Yes,No,13.67,492.12,0.0,R642,W02,144,32,0,2024-11-12
200079,2023-10-02,1014,Precision Plastics West,SKU0058,Central MI,226,157,69,43.95%,Superior Haulage,Mid-MI Crossdock,2023-10-12,2023-10-12,0,Yes,No,19.45,3053.65,0.0,R324,W02,307,153,0,2023-10-09
200080,2024-09-26,1005,Riverbend Metals,SKU0037,Central MI,545,351,194,55.27%,Mitten Last-Mile,Mid-MI Crossdock,2024-10-09,2024-10-13,4,No,No,12.9,4527.9,0.0,R884,W02,572,127,0,2024-10-10
200081,2025-08-30,1013,PolyTech Midwest,SKU0050,Central MI,120,98,22,22.45%,QuickRoute Carriers,Lakeside Warehousing,2025-09-02,2025-09-03,1,No,No,13.54,1326.92,0.0,R381,W01,294,115,0,2025-09-13
200082,2025-01-23,1012,AutoSeal Gaskets,SKU0045,West MI,437,343,94,27.41%,Mitten Last-Mile,Mid-MI Crossdock,2025-02-01,2025-02-01,0,Yes,No,14.96,5131.28,0.0,R929,W02,313,51,0,2025-01-24
200083,2025-08-12,1001,Delta Plastics,SKU0003,Central MI,350,325,25,7.69%,Superior Haulage,Downtown Storage Co.,2025-08-24,2025-08-24,0,Yes,No,14.75,4793.75,0.0,R903,W03,392,178,0,2025-08-15
200084,2025-09-10,1014,Precision Plastics West,SKU0060,Central MI,21,23,2,8.7%,Superior Haulage,Lakeside Warehousing,2025-09-15,2025-09-15,0,Yes,No,12.55,288.65,0.0,R770,W01,109,114,0,2025-09-17
200085,2025-02-11,1012,AutoSeal Gaskets,SKU0046,Central MI,283,260,23,8.85%,QuickRoute Carriers,Downtown Storage Co.,2025-02-15,2025-02-15,0,Yes,No,16.94,4404.4,0.0,R524,W03,193,101,0,2025-02-14
200086,2024-05-23,1003,Great Lakes Fasteners,SKU0022,SE MI,356,290,66,22.76%,North Fork Logistics,Mid-MI Crossdock,2024-05-29,2024-05-30,1,No,No,12.83,3720.7,0.0,R216,W02,384,38,0,2024-05-24
200087,2025-03-26,1002,Midland Moldings,SKU0015,SE MI,117,86,31,36.05%,Superior Haulage,Lakeside Warehousing,2025-04-01,2025-04-03,2,No,Yes,17.19,1478.34,213.12,R633,W01,435,114,0,2025-04-09
200088,2025-04-23,1014,Precision Plastics West,SKU0064,Central MI,46,51,5,9.8%,Mitten Last-Mile,Mid-MI Crossdock,2025-04-29,2025-04-29,0,Yes,No,8.06,411.06,0.0,R211,W02,588,81,0,2025-04-26
200089,2025-09-15,1001,Delta Plastics,SKU0008,West MI,62,57,5,8.77%,Mitten Last-Mile,Mid-MI Crossdock,2025-09-26,2025-09-26,0,Yes,No,11.27,642.39,0.0,R204,W02,498,102,0,2025-09-18
200090,2024-07-19,1004,TriCounty Components,SKU0028,SE MI,368,261,107,41.0%,QuickRoute Carriers,Mid-MI Crossdock,2024-07-25,2024-08-01,7,No,No,17.23,4497.03,0.0,R330,W02,334,168,0,2024-07-22
200091,2025-09-08,1005,Riverbend Metals,SKU0037,Northern MI,307,363,56,15.43%,North Fork Logistics,Mid-MI Crossdock,2025-09-13,2025-09-13,0,Yes,No,8.73,3168.99,0.0,R478,W02,477,58,0,2025-09-09
200092,2025-08-31,1003,Great Lakes Fasteners,SKU0017,Central MI,179,161,18,11.18%,Mitten Last-Mile,Mid-MI Crossdock,2025-09-03,2025-09-03,0,Yes,No,16.85,2712.85,0.0,R228,W02,332,162,0,2025-09-03
200093,2025-08-06,1005,Riverbend Metals,SKU0032,SE MI,429,400,29,7.25%,Superior Haulage,Mid-MI Crossdock,2025-08-20,2025-08-20,0,Yes,No,12.81,5124.0,0.0,R962,W02,149,80,1,2025-08-13
200094,2025-09-01,1013,PolyTech Midwest,SKU0051,Central MI,59,89,30,33.71%,Superior Haulage,Lakeside Warehousing,2025-09-04,2025-09-04,0,Yes,No,14.24,1267.36,0.0,R110,W01,10,85,0,2025-09-08
200095,2024-12-15,1013,PolyTech Midwest,SKU0051,Central MI,122,117,5,4.27%,QuickRoute Carriers,Mid-MI Crossdock,2024-12-25,2024-12-25,0,Yes,No,20.25,2369.25,0.0,R710,W02,458,51,0,2024-12-22
200096,2025-05-17,1014,Precision Plastics West,SKU0064,West MI,108,109,1,0.92%,Mitten Last-Mile,Lakeside Warehousing,2025-05-26,2025-05-26,0,Yes,No,17.5,1907.5,0.0,R230,W01,521,111,0,2025-05-20
200097,2024-09-12,1002,Midland Moldings,SKU0011,West MI,463,403,60,14.89%,North Fork Logistics,Mid-MI Crossdock,2024-09-23,2024-09-23,0,Yes,No,21.82,8793.46,0.0,R774,W02,454,132,0,2024-09-19
200098,2024-07-25,1003,Great Lakes Fasteners,SKU0022,SE MI,371,321,50,15.58%,North Fork Logistics,Lakeside Warehousing,2024-08-02,2024-08-02,0,Yes,No,14.67,4709.07,0.0,R121,W01,180,158,0,2024-07-28
200099,2023-02-26,1014,Precision Plastics West,SKU0058,SE MI,322,309,13,4.21%,Mitten Last-Mile,Mid-MI Crossdock,2023-03-10,2023-03-12,2,No,Yes,4.23,1307.07,447.74,R897,W02,467,108,0,2023-03-01
200100,2025-02-03,1013,PolyTech Midwest,SKU0052,Northern MI,89,70,19,27.14%,Mitten Last-Mile,Downtown Storage Co.,2025-02-08,2025-02-08,0,Yes,No,16.7,1169.0,0.0,R566,W03,411,57,0,2025-02-17
200101,2025-07-14,1005,Riverbend Metals,SKU0036,West MI,142,109,33,30.28%,North Fork Logistics,Downtown Storage Co.,2025-07-20,2025-07-20,0,Yes,No,12.34,1345.06,0.0,R714,W03,491,113,0,2025-07-21
200102,2024-07-27,1003,Great Lakes Fasteners,SKU0018,SE MI,141,101,40,39.6%,QuickRoute Carriers,Lakeside Warehousing,2024-08-06,2024-08-06,0,Yes,No,13.83,1396.83,0.0,R351,W01,3,58,1,2024-08-03
200103,2024-02-04,1013,PolyTech Midwest,SKU0056,SE MI,72,62,10,16.13%,QuickRoute Carriers,Lakeside Warehousing,2024-02-09,2024-02-09,0,Yes,No,13.69,848.78,0.0,R268,W01,140,153,0,2024-02-07
200104,2025-04-08,1005,Riverbend Metals,SKU0036,Central MI,215,324,109,33.64%,QuickRoute Carriers,Lakeside Warehousing,2025-04-14,2025-04-14,0,Yes,No,12.02,3894.48,0.0,R222,W01,264,122,0,2025-04-22
200105,2024-12-12,1013,PolyTech Midwest,SKU0054,Central MI,476,329,147,44.68%,QuickRoute Carriers,Mid-MI Crossdock,2024-12-16,2024-12-16,0,Yes,No,13.73,4517.17,0.0,R174,W02,447,160,0,2024-12-13
200106,2023-07-17,1012,AutoSeal Gaskets,SKU0046,Central MI,113,81,32,39.51%,Superior Haulage,Mid-MI Crossdock,2023-07-21,2023-07-21,0,Yes,No,16.28,1318.68,0.0,R925,W02,595,81,0,2023-07-24
200107,2023-04-02,1013,PolyTech Midwest,SKU0049,SE MI,7,7,0,0.0%,Mitten Last-Mile,Mid-MI Crossdock,2023-04-06,2023-04-06,0,Yes,No,11.79,82.53,0.0,R557,W02,382,76,0,2023-04-05
200108,2023-03-01,1004,TriCounty Components,SKU0030,SE MI,112,94,18,19.15%,QuickRoute Carriers,Mid-MI Crossdock,2023-03-10,2023-03-10,0,Yes,No,8.02,753.88,0.0,R463,W02,40,145,0,2023-03-04
200109,2024-06-14,1003,Great Lakes Fasteners,SKU0020,Central MI,318,266,52,19.55%,North Fork Logistics,Mid-MI Crossdock,2024-06-27,2024-06-28,1,No,No,13.48,3585.68,0.0,R467,W02,432,172,0,2024-06-15
200110,2025-02-26,1002,Midland Moldings,SKU0011,Central MI,27,34,7,20.59%,QuickRoute Carriers,Mid-MI Crossdock,2025-03-10,2025-03-10,0,Yes,No,17.42,592.28,0.0,R107,W02,480,52,0,2025-03-12
200111,2024-07-31,1004,TriCounty Components,SKU0023,Central MI,251,313,62,19.81%,North Fork Logistics,Downtown Storage Co.,2024-08-11,2024-08-12,1,No,Yes,13.97,4372.61,414.62,R709,W03,595,52,0,2024-08-01
200112,2025-01-02,1003,Great Lakes Fasteners,SKU0020,Central MI,47,38,9,23.68%,Mitten Last-Mile,Downtown Storage Co.,2025-01-15,2025-01-15,0,Yes,No,14.06,534.28,0.0,R786,W03,32,40,0,2025-01-05
200113,2023-11-09,1004,TriCounty Components,SKU0030,SE MI,189,199,10,5.03%,Superior Haulage,Downtown Storage Co.,2023-11-14,2023-11-14,0,Yes,No,16.59,3301.41,0.0,R464,W03,495,156,0,2023-11-16
200114,2025-09-13,1004,TriCounty Components,SKU0030,West MI,475,362,113,31.22%,Superior Haulage,Mid-MI Crossdock,2025-09-16,2025-09-16,0,Yes,No,15.02,5437.24,0.0,R877,W02,4,37,1,2025-09-20
